sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403550.1453679,0.0,1.5707963268853422,9.42559310771782e-12
1748403550.1651773,0.0,1.5707963268855287,9.425589016759138e-12
1748403550.1854925,0.0,1.5707963268857152,9.425602316779497e-12
1748403550.2055378,0.0,1.5707963268859018,9.425592242749741e-12
1748403550.225854,0.0,1.5707963268860883,9.425589842255515e-12
1748403550.2455697,0.0,1.5707963268862748,9.42558875513922e-12
1748403550.2653942,0.0,1.5707963268864613,9.42558605928057e-12
1748403550.2853827,0.0,1.5707963268866478,9.425584996777974e-12
1748403550.3054276,0.0,1.5707963268868343,9.425606068788663e-12
1748403550.3253121,0.0,1.5707963268870209,9.42559033166598e-12
1748403550.3453932,0.0,1.5707963268872074,9.425584262759403e-12
1748403550.3653178,0.0,1.570796326887394,9.425596906090799e-12
1748403550.3852549,0.0,1.5707963268875804,9.42560785895774e-12
1748403550.405378,0.0,1.570796326887767,9.42559185108433e-12
1748403550.4252417,0.0,1.5707963268879535,9.425594506221484e-12
1748403550.4458942,0.0,1.57079632688814,9.425596086236735e-12
1748403550.4652762,0.0,1.57079632688814,9.425596086236735e-12
1748403550.4855266,0.0,1.5707963268883265,9.425593611901401e-12
1748403550.5053275,0.0,1.570796326888513,9.42559345222478e-12
1748403550.5254495,0.0,1.5707963268886995,9.42560181968227e-12
1748403550.5452933,0.0,1.570796326888886,9.425600445082539e-12
1748403550.565407,0.0,1.5707963268890726,9.425599850240288e-12
1748403550.5853813,0.0,1.570796326889259,9.425594101311843e-12
1748403550.6054213,0.0,1.5707963268894456,9.425592866513329e-12
1748403550.6254098,0.0,1.570796326889632,9.425610663930912e-12
1748403550.6456563,0.0,1.5707963268898186,9.425597930650607e-12
1748403550.6653733,0.0,1.5707963268900051,9.425595259405661e-12
1748403550.685373,0.0,1.5707963268901917,9.4255924404785e-12
1748403550.7054596,0.0,1.5707963268903782,9.425605863567371e-12
1748403550.7254035,0.0,1.5707963268905647,9.42559168595963e-12
1748403550.7455297,0.0,1.5707963268907512,9.42560022571304e-12
1748403550.7654452,0.0,1.5707963268909377,9.425595650361306e-12
1748403550.7851536,0.0,1.5707963268911243,9.425596081413548e-12
